PLAYER_ID,PLAYER_NAME,POSITION,TEAM,AGE,GAMES,GAMES_STARTED,MIN_TOTAL,PTS,REB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,USAGE_RATE,DWS,OWS,WS,WS_48,PER,TS_PCT,BPM,OBPM,DBPM,PLUS_MINUS,WIN_PCT,NET_RATING
1,Shai Gilgeous-Alexander,PG,OKC,27,49,49,1632,31.8,4.4,6.4,1.3,0.8,2.1,2.1,0.554,0.39,0.892,33.6,2.9,8.5,11.4,0.335,31.6,0.67,11.8,9.1,2.7,19.2576,0.677,17.700000000000003
2,Tyrese Maxey,PG,PHI,25,51,51,1976,28.8,4.2,6.8,2,0.8,2.5,2.2,0.47,0.379,0.891,29.1,2.1,5.2,7.3,0.178,22.7,0.598,5.9,5.3,0.6,11.6584,0.5885,8.850000000000001
3,Donovan Mitchell,SG,CLE,29,50,50,1691,29,4.5,5.9,1.5,0.3,3.1,2.4,0.485,0.377,0.85,32.6,1.8,4.3,6.1,0.172,23.3,0.617,5.7,5.7,-0.1,9.6387,0.5855,8.55
4,Jaylen Brown,SF,BOS,29,48,48,1647,29.4,6.9,4.7,1,0.4,3.6,2.8,0.484,0.352,0.772,36.9,2.1,2.2,4.3,0.125,22.4,0.572,3.1,3.7,-0.6,5.105700000000001,0.5465,4.65
5,Luka Dončić,PG,LAL,26,42,42,1492,32.8,7.8,8.6,1.5,0.5,4.3,2.4,0.473,0.345,0.781,37.9,1.6,4.3,5.9,0.19,27.5,0.614,8.1,7.4,0.7,12.085199999999999,0.6214999999999999,12.149999999999999
6,Jalen Brunson,PG,NYK,29,49,49,1698,27.4,3.3,6.1,0.7,0.1,2.2,2.3,0.47,0.372,0.847,31.2,1.2,4.8,6,0.169,21.1,0.587,3.3,4.6,-1.3,5.6034,0.5495,4.949999999999999
7,Anthony Edwards,SG,MIN,24,45,45,1599,29.6,5.2,3.8,1.3,0.8,2.7,1.8,0.492,0.397,0.795,31.5,2,3.5,5.4,0.163,22.6,0.619,5,5.1,-0.1,7.995,0.575,7.5
8,Kevin Durant,SF,HOU,37,49,49,1799,25.9,5.3,4.4,0.9,0.9,3.1,2,0.506,0.405,0.881,27.1,2,4.4,6.5,0.172,20.4,0.627,3.8,3.7,0.1,6.8362,0.5569999999999999,5.699999999999999
9,Jamal Murray,PG,DEN,28,49,49,1747,25.8,4.3,7.6,1,0.4,2.3,1.6,0.486,0.428,0.883,28.6,1,5.3,6.3,0.173,22.7,0.616,4.3,5.9,-1.6,7.5121,0.5645,6.449999999999999
10,Pascal Siakam,PF,IND,31,51,51,1723,23.7,6.7,3.9,1.1,0.5,2.2,2.4,0.48,0.369,0.68,29.3,1.5,1.3,2.8,0.077,18.7,0.56,1.5,2.2,-0.7,2.5845000000000002,0.5225,2.25
11,Julius Randle,PF,MIN,31,55,55,1849,22,7,5.5,1.1,0.3,2.6,2.8,0.489,0.322,0.82,26.3,2.2,4.1,6.3,0.164,19.9,0.595,2.5,2.4,0.1,4.6225,0.5375,3.75
12,Cade Cunningham,PG,DET,24,46,46,1610,25.3,5.6,9.6,1.4,0.8,3.7,3.2,0.459,0.321,0.81,30.8,2.6,3.3,6,0.177,21.8,0.564,5.7,4.5,1.2,9.177000000000001,0.5855,8.55
13,James Harden,PG,2TM,36,46,46,1627,25.3,4.9,8.1,1.3,0.4,3.6,1.9,0.421,0.351,0.904,31,1.3,3.9,5.2,0.154,22,0.6,3.8,4.8,-1,6.1826,0.5569999999999999,5.699999999999999
14,Deni Avdija,SF,POR,25,45,45,1550,25.5,7.2,6.7,0.8,0.6,3.8,2.6,0.467,0.354,0.8,29,1.4,3.7,5.1,0.158,21.1,0.61,4.9,4.5,0.3,7.595000000000001,0.5735,7.3500000000000005
